id,text,label
1,猫ちゃんの方がよっぽどいい部屋住んでるし、きれいにされている,1
2,歩くときは姿勢を意識することが大切らしい,0
3,置き配ボックス設置してみた,1
4,楽しげな曲を聴くと、ついついどういう風に踊ればいいか考えてしまう,0
5,ロフトベッドで収納スペースを確保する,1
6,小さい頃はフォワードとしてプレーしていて、サッカーの神童と呼ばれたこともありました,0
7,毎年夏になると友達と一緒に北海道の山を縦走しています,0
8,実家には和室があって、そこでよく昼寝をしていた,1
9,子供が生まれたのを期に新築の家を建てた,1
10,筋力トレーニングは続けようと思っても三日坊主でやめてしまって続けられない,0
11,家にある家具はほとんど自分で作ったものです,1
12,いい天気なので屋根の上で布団を干す,1
13,今日からルームシェアだ,1
14,いつも布団で寝ているから、ベッドで寝るのは少し怖い,1
15,親が転勤族だったので、子供のころは何度も引っ越しをしました,1
16,本がたくさんあるので、本を収納するための狭い部屋が欲しい,1
17,高校からダンスを始めた,0
18,夫婦水入らずで暮らす,1
19,今はもうやめちゃいましたけど、小学校から高校まで野球をやっていました,0
20,田舎では三世帯住宅のところもよくあります,1
21,木造住宅を建てましょう,1
22,屋根に雪が積もったのでおろさないと,1
23,段ボールで作られたベッドを一度使ってみたい,1
24,雨の日も雪の日も毎日10キロ走っています,0
25,夏休みに友達とセミを捕って遊ぶ,0
26,山登りが趣味です,0
27,南向きの部屋が希望です,1
28,私は、まだホームランを一度も打ったことがありません,0
29,今のディフェンダーはゲームの組み立てに絡む必要が出てきており、昔とくらべて足元の技術が求められるようになりました,0
30,妻はフラダンスを練習しに出かけています,0
31,引っ越しをするときは、南向きの部屋かどうかが最低条件です,1
32,本が増えすぎてまた新しい本棚を買わないといけない,1
33,ジャズダンスのレッスンに週2回参加しています,0
34,就職して運動をやめてから太ってしまったので、最近ダイエットを始めた,0
35,毎週ジムで筋力トレーニングをする,0
36,毎朝自主的にサッカーの練習をしている,0
37,水道水はあまり飲みたくないので、キッチンにウォーターサーバーを設置している,1
38,新しい家を建てるときに知っておきたい10の注意点,1
39,四畳半に二人暮らしをしていました,1
40,ダイエットを始めてすぐの時は水中ウォーキングでもけっこう疲れてしまう,0
41,趣味はポタリングで、次はいつもよりちょっとだけ遠くまで行こうと思っています,0
42,犠牲フライから始まった5点差からの逆転劇,0
43,長距離走は陸上競技の中で最も苦手だった,0
44,玄関のベルが壊れていたので、明日新しいのを買いにいく,1
45,逆上がりが苦手で、成功するのは10回に1回くらいです,0
46,遠泳では10キロを泳ぎ切るというのが一つの目標になります,0
47,社員寮はやめておけ,1
48,部屋を借りている間はなるべく汚さないようにしましょう,1
49,近所のお兄さんにコツを教えてもらってから、水泳が得意になりました,0
50,お金がなさ過ぎて公有地に無断で住み着いていたことがある,1
51,上手いサッカー選手は足元の技術は当然ながら、腕の使い方も上手いらしい,0
52,フォワード一つとっても、いろいろなプレースタイルのサッカー選手がいます,0
53,テクニックばかり上手くなっても、チームプレーができないと試合では勝てないよ,0
54,引っ越ししたばかりなのに、もう転勤ですか,1
55,ホテル暮らしをしてみたい,1
56,今日から念願の一人暮らしだ,1
57,自分の家では声をかけるだけで照明を付けることができる,1
58,うーん、どうやったら逆上がりできるようになるんだろう,0
59,腕立て伏せ30回残り3本セット,0
60,机の高さはもう少し低いほうがよかったかな,1
61,今も野球は続けています,0
62,今年の夏休みには北海道を自転車で一周する予定で、今は体力づくりをしているところです,0
63,童心に帰って遊びませんか,0
64,窓からでなくちゃんと玄関から出入りしてください,1
